VOIGTMANN JOHANNES,15:23,5,0/1,1/3,2/2,0,1,1,1,1,1,0,0,1,4,7,01.27.2021,CSKA,Alba,FALSE
SHENGELIA TORNIKE,26:09,20,5/7,2/3,4/6,0,1,1,3,2,2,1,0,3,4,21,01.27.2021,CSKA,Alba,FALSE
MILUTINOV NIKOLA,30:48,10,4/8,0,2/2,5,6,11,3,1,2,1,1,2,2,19,01.27.2021,CSKA,Alba,FALSE
KURBANOV NIKITA,26:00,5,1/2,1/2,0,2,2,4,1,0,1,0,0,3,1,5,01.27.2021,CSKA,Alba,FALSE
BOLOMBOY JOEL,14:36,6,2/4,0/1,2/2,2,2,4,1,0,2,0,0,0,1,7,01.29.2021,CSKA,Bayern,TRUE
KHOMENKO ALEXANDER,11:03,6,2/3,0,2/2,0,0,0,1,0,1,0,0,2,2,5,01.29.2021,CSKA,Bayern,TRUE
HILLIARD DARRUN,25:00,15,1/8,4/8,1/2,0,0,0,1,1,1,0,0,1,3,6,01.29.2021,CSKA,Bayern,TRUE
UKHOV IVAN,11:42,0,0/1,0,0,1,3,4,1,0,1,0,0,3,0,0,01.29.2021,CSKA,Bayern,TRUE
HACKETT DANIEL,28:57,4,2/6,0/4,0,0,8,8,3,0,4,0,0,1,4,6,01.29.2021,CSKA,Bayern,TRUE
ANTONOV SEMEN,5:42,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,01.29.2021,CSKA,Bayern,TRUE
STRELNIEKS JANIS,8:14,0,0/1,0/1,0,0,0,0,1,0,1,0,0,2,0,-4,01.29.2021,CSKA,Bayern,TRUE
VOIGTMANN JOHANNES,15:25,8,1/2,2/3,0,1,2,3,2,1,1,0,0,1,0,10,01.29.2021,CSKA,Bayern,TRUE
SHENGELIA TORNIKE,29:02,11,2/8,0,7/7,2,1,3,3,2,2,0,0,4,7,14,01.29.2021,CSKA,Bayern,TRUE
